year,sex,age,pop
1993,Males,80,268080.640625
1993,Males,85,119107.67187500001
1993,Males,90,33038.3125
1993,Males,95,5073.40625
1994,Females,0,182963.505833
1994,Females,1,577330.30136
1994,Females,5,1045341.78125
1994,Females,10,1309901.28125
1994,Females,15,1615712.09375
1994,Females,20,1634971.375
1994,Females,25,1608688.875
1994,Females,30,1526663.78125
1994,Females,35,1381378.375
1994,Females,40,1230830.28125
1994,Females,45,1215482.40625
1994,Females,50,1047329.59375
1994,Females,55,1037515.125
1994,Females,60,1144044.625
1994,Females,65,1036566.90625
1994,Females,70,882820.65625
1994,Females,75,651677.625
1994,Females,80,490466.9375
1994,Females,85,260092.5
1994,Females,90,90005.5
1994,Females,95,15600.375
1994,Males,0,195406.492184
1994,Males,1,612030.36757
1994,Males,5,1102159.6875
1994,Males,10,1376721.84375
1994,Males,15,1693896.5625
1994,Males,20,1708922.375
1994,Males,25,1657282.28125
1994,Males,30,1546823.8749999998
1994,Males,35,1383023.78125
1994,Males,40,1230905.5
1994,Males,45,1196687.96875
1994,Males,50,1022455.25
1994,Males,55,970279.96875
1994,Males,60,1044264.1875
1994,Males,65,889446.28125
1994,Males,70,687156.3125
1994,Males,75,415128.6875
1994,Males,80,272888
1994,Males,85,125286.25
1994,Males,90,35537.40625
1994,Males,95,5058.53125
1995,Females,0,176368.11677300002
1995,Females,1,574327.511944
1995,Females,5,1019073.671875
1995,Females,10,1252002.359375
1995,Females,15,1580279.921875
1995,Females,20,1653773.453125
1995,Females,25,1614490.125
1995,Females,30,1558490.6406249998
1995,Females,35,1429706.125
1995,Females,40,1249992.515625
1995,Females,45,1218844.453125
1995,Females,50,1090525.671875
1995,Females,55,1007017.578125
1995,Females,60,1140826.96875
1995,Females,65,1054138.515625
1995,Females,70,911060.609375
1995,Females,75,664317.78125
1995,Females,80,498741.296875
1995,Females,85,272743.296875
1995,Females,90,96078.59375
1995,Females,95,16668.65625
1995,Males,0,187672.00909299997
1995,Males,1,609836.9918440001
1995,Males,5,1075069.578125
1995,Males,10,1317394.4375
1995,Males,15,1657736
1995,Males,20,1728522.890625
1995,Males,25,1667783.703125
1995,Males,30,1581461.75
1995,Males,35,1432164.96875
1995,Males,40,1249145.640625
1995,Males,45,1201625.15625
1995,Males,50,1065507.546875
1995,Males,55,943415.7031250001
1995,Males,60,1043364.609375
1995,Males,65,907590.21875
1995,Males,70,716598.265625
1995,Males,75,427132.4375
1995,Males,80,276613.078125
1995,Males,85,130859.59375000001
1995,Males,90,37729.015625
1995,Males,95,5385.09375
1996,Females,0,175055.95053499998
1996,Females,1,566182.777085
1996,Females,5,1000899.25
1996,Females,10,1196381.25
1996,Females,15,1530553.75
1996,Females,20,1670624.25
1996,Females,25,1624955.5
1996,Females,30,1585845
1996,Females,35,1472282
1996,Females,40,1282305.5
1996,Females,45,1220017.25
1996,Females,50,1118985
1996,Females,55,986471.75
1996,Females,60,1140434.75
1996,Females,65,1070328.5
1996,Females,70,932183.25
1996,Females,75,688030.25
1996,Females,80,503078.25
1996,Females,85,284707.75
1996,Females,90,101423
1996,Females,95,18196
1996,Males,0,185846.046005
1996,Males,1,601293.053251
1996,Males,5,1057497.5
1996,Males,10,1259196.75
1996,Males,15,1606719.25
1996,Males,20,1745826.25
1996,Males,25,1683344.75
1996,Males,30,1612580.75
1996,Males,35,1475038.5
1996,Males,40,1279758.75
1996,Males,45,1205609.25
1996,Males,50,1090850.5
1996,Males,55,931117.5
1996,Males,60,1040931.75
1996,Males,65,924679
1996,Males,70,736594.25
1996,Males,75,452028.5
1996,Males,80,278490.5
1996,Males,85,135830
1996,Males,90,39806.5
1996,Males,95,6012.25
1997,Females,0,177113.949768
1997,Females,1,552433.446378
1997,Females,5,989895.688019
1997,Females,10,1146249.84375
1997,Females,15,1473007.125
1997,Females,20,1677984.265625
1997,Females,25,1636295.046875
1997,Females,30,1615226.28125
1997,Females,35,1503394.828125
1997,Females,40,1318673.046875
1997,Females,45,1234476.96875
1997,Females,50,1160657
1997,Females,55,959944.5625
1997,Females,60,1129017.890625
1997,Females,65,1087050.015625
1997,Females,70,946614.640625
1997,Females,75,718870.078125
1997,Females,80,505728.359375
1997,Females,85,295721.390625
1997,Females,90,106530.328125
1997,Females,95,20119.578125
1997,Males,0,187628.557651
1997,Males,1,586120.124579
1997,Males,5,1047232.3024210001
1997,Males,10,1206762.640625
1997,Males,15,1546882.734375
1997,Males,20,1754100.09375
1997,Males,25,1699776.015625
1997,Males,30,1646170.046875
1997,Males,35,1506986.609375
1997,Males,40,1314288.53125
1997,Males,45,1222305.921875
1997,Males,50,1129961.890625
